yr_mfr,fuel_type,kms_run,sale_price,times_viewed,body_type,transmission,assured_buy,registered_state,source,make,model,car_availability,total_owners,broker_quote,original_price,car_rating,fitness_certificate,emi_starts_from,reserved,warranty_avail
2015,1,8063,12.864625793325432,18715,0,1,1,1,0,10,55,0,2,397677,404177.0,2,1,8975,0,0
2016,1,23104,12.489366353178694,2676,0,1,1,8,0,10,4,0,1,272935,354313.0,2,1,6167,0,0
2013,0,39124,12.637851815197195,6511,0,1,1,1,0,10,55,0,1,294262,374326.0,2,1,7154,0,0
2015,1,22116,12.798014554325402,3225,0,1,0,1,0,7,30,0,1,360716,367216.0,2,1,8397,0,0
2012,1,38328,12.680749712235068,2760,0,1,1,8,0,7,33,0,3,319200,410764.0,2,1,7468,0,0
2014,0,56402,13.03068439680898,2475,0,1,1,8,0,7,23,0,1,452023,566123.0,2,1,10596,0,0
2018,1,32703,12.547173439548061,2497,0,1,1,8,0,12,40,1,1,264597,344127.0,2,1,6534,0,0
2014,1,53180,12.239986030469176,1446,0,1,1,1,0,10,4,0,1,200605,207105.0,2,1,4806,0,0
2012,0,55764,12.570712286889833,3115,0,1,1,1,0,7,33,0,2,275325,356231.0,2,1,6689,0,0
2012,1,58581,12.370310846233847,1752,0,1,1,8,0,6,11,0,1,234607,307559.0,2,1,5475,0,0
2010,1,63808,12.625437371490946,2493,3,1,1,8,0,6,14,0,1,281400,364648.0,2,1,7066,0,0
2011,1,70126,12.29040919836513,2450,0,1,1,1,0,7,32,0,1,216800,284836.0,2,1,5054,0,0
2015,0,62806,12.890428797985763,2965,0,1,1,8,0,10,55,0,1,409866,515526.0,2,1,9210,0,0
2015,1,58396,12.758229254258804,620,0,1,1,1,0,6,11,0,2,327940,405581.0,2,1,8069,0,0
2014,1,59559,12.253905208488742,2216,0,1,1,8,0,7,24,0,1,205754,272348.0,2,1,4873,0,0
2012,0,68355,12.896212809544108,1960,3,1,1,3,0,7,63,0,1,367000,467580.0,2,1,9263,0,0
2010,1,82078,12.240952218786793,881,0,1,1,1,0,10,48,0,1,193591,257586.0,2,1,4810,0,0
2009,1,79244,12.01308844424792,2030,0,1,1,1,0,7,49,0,1,129230,177150.0,1,1,3830,0,0
2014,1,71876,12.873129925247039,1151,0,1,1,1,0,10,55,0,1,377352,480698.0,2,1,9052,0,0
2011,1,90479,12.320735262183604,2775,3,1,1,3,0,10,56,0,1,214978,282096.0,2,1,5210,0,0
2013,0,66940,12.892192693526622,3986,4,1,1,3,0,5,21,0,1,383822,472084.0,2,1,9226,0,0
2013,0,80394,12.714392131554726,1491,3,1,1,8,0,10,56,0,1,317758,408992.0,2,1,7723,0,0
2012,0,77954,12.634273982212164,748,3,1,1,1,0,10,56,0,2,297766,369669.0,2,1,7128,0,0
2012,1,82364,12.567582382996157,1537,3,1,1,1,0,11,53,0,1,255552,332102.0,2,1,6669,0,0
2012,0,83767,12.40655741461818,4003,0,1,1,8,0,7,33,0,1,253021,330021.0,2,1,5677,0,0
2012,0,87914,12.492375016631623,606,0,1,1,1,0,15,27,0,1,269200,348764.0,2,1,6185,0,0
2013,0,74429,12.65873617546734,1418,0,1,1,8,0,10,55,0,2,294044,365244.0,2,1,7305,0,0
2014,0,81137,12.851339123235345,770,0,1,1,8,0,10,55,0,2,358594,458804.0,2,1,8857,0,0
2012,0,85689,12.619171872789865,1268,0,1,1,8,0,7,33,0,1,292039,377619.0,2,1,7022,0,0
